doc_id,institution,doc_type,year,title,language,word_count,matched_keywords,url,text_preview
nbim_annual_2015,NBIM,annual_report,2015,,en,1011,petroleum,https://www.nbim.no/en/news-and-insights/reports/2015/annual-report-2015/,"Home News and insights Reports 2015 Annual report 2015 2015 Annual report 2015 The Government Pension Fund Global returned 2.7 percent, or 334 billion kroner, in 2015. &#xA; Published:&#xA; 9 March 2016 Annual report (PDF) Press release The results in brief The Government Pension Fund Global returned 2.7 percent, or 334 billion kroner, in 2015. Equity investments returned 3.8 percent, while fixed-income investments returned 0.3 percent. Investments in real estate returned 10.0 percent. The retur"
nbim_annual_2016,NBIM,annual_report,2016,,en,1032,petroleum,https://www.nbim.no/en/news-and-insights/reports/2016/annual-report-2016/,"Home News and insights Reports 2016 Annual report 2016 2016 Annual report 2016 The Government Pension Fund Global returned 6.9 percent, or 447 billion kroner, in 2016. &#xA; Published:&#xA; 28 February 2017 Annual report (PDF) Press release The results in brief The Government Pension Fund Global returned 6.9 percent, or 447 billion kroner, in 2016. Equity investments returned 8.7 percent, while fixed-income investments returned 4.3 percent. Investments in real estate returned 0.8 percent. The fu"
nbim_annual_2017,NBIM,annual_report,2017,,en,318,,https://www.nbim.no/en/news-and-insights/reports/2017/annual-report-2017/,"Home News and insights Reports 2017 Annual report 2017 2017 Annual report 2017 The Government Pension Fund Global returned 13.7 percent, or 1,028 billion kroner, in 2017. &#xA; Published:&#xA; 27 February 2018 Download the report (PDF) Press release The results in brief The Government Pension Fund Global returned 13.7 percent, or 1,028 billion kroner, in 2017. Equity investments returned 19.4 percent, while investments in unlisted real estate returned 7.5 percent. Fixed-income investments return"
nbim_annual_2018,NBIM,annual_report,2018,,en,180,,https://www.nbim.no/en/news-and-insights/reports/2018/annual-report-2018/,"Home News and insights Reports 2018 Annual report 2018 2018 Annual report 2018 The Government Pension Fund Global returned -6.1 percent, or -485 billion kroner, in 2018. &#xA; Published:&#xA; 27 February 2019 Download the report (PDF) Press release The results in brief The Government Pension Fund Global returned -6.1 percent, or -485 billion kroner, in 2018. The fund s equity investments returned -9.5 percent, while investments in unlisted real estate returned 7.5 percent. The fixed-income inves"
nbim_annual_2019,NBIM,annual_report,2019,,en,478,,https://www.nbim.no/en/news-and-insights/reports/2019/annual-report-2019/,"Home News and insights Reports 2019 Annual report 2019 2019 Annual report 2019 2019 was a great year in the fund&#x2019;s history, driven by positive equity returns in all of the fund&#x2019;s principal markets and in all equity sectors. The fund had it&#x27;s highest return measured in kroner in a single year in the fund&#x2019;s history. It is also the second best return measured as a percentage. This also gave the greatest increase in value in a single year in the fund&#x2019;s history. &#xA;"
nbim_annual_2020,NBIM,annual_report,2020,,en,489,,https://www.nbim.no/en/news-and-insights/reports/2020/annual-report-2020/,"Home News and insights Reports 2020 Annual report 2020 2020 Annual report 2020 The outbreak and spread of the coronavirus had enormous consequences for us all. The pandemic had a dramatic impact on the markets in the first quarter, followed by a rapid recovery in the second. The year saw high levels of volatility and considerable variations between sectors. Although global economic growth was hit hard, the fund&#x2019;s equity investments returned 12.1 percent. Our technology stocks made a parti"
nbim_annual_2021,NBIM,annual_report,2021,,en,481,renewable,https://www.nbim.no/en/news-and-insights/reports/2021/annual-report-2021/,"Home News and insights Reports 2021 Annual report 2021 2021 Annual report 2021 The fund celebrated its 25th anniversary in 2021, and the period must be seen as an enormous financial success. Only a quarter of a century from the first inflow of just under 2 billion kroner in 1996, the fund ended the year with a value of 12 339 549 465 702 kroner. The fund returned 14.5 percent or 1,580 billion kroner in 2021, and this in another year hit by the pandemic and volatile markets. &#xA; Published:&#xA;"
nbim_annual_2022,NBIM,annual_report,2022,,en,939,"transition, climate, renewable, carbon, green, emission",https://www.nbim.no/en/news-and-insights/reports/2022/annual-report-2022/,"Home News and insights Reports 2022 Annual report 2022 2022 Annual report 2022 The fund returned -14.1 percent, or -1,637 billion kroner, in a year of rising interest rates, high inflation and war in Europe. However, the market value of the fund increased by 90 million kroner in 2022. This was because the krone fell against the currencies in which the fund is invested, and because new capital was added to the fund. The fund&#x2019;s return was 0.87 percentage point higher than the return on the "
nbim_annual_2023,NBIM,annual_report,2023,,en,39324,"transition, climate, sustainability, renewable, carbon, emission, petroleum, oil",https://www.nbim.no/en/news-and-insights/reports/2023/annual-report-2023/,"Home News and insights Reports 2023 Annual report 2023 2023 Annual report 2023 Government Pension Fund Global Published: 27 February 2024 Strong return on the fund&#x27;s investments The fund s market value grew by a record 3,336 billion kroner in 2023. The increase was mainly due to a strong return on 2,222 billion kroner and a weak krone. This took the fund past the 16 trillion kroner mark for the first time. Read the report in web format Download the report (pdf) Watch the press conference CE"
nbim_annual_2024,NBIM,annual_report,2024,,en,40607,"transition, climate, sustainability, renewable, carbon, emission, petroleum, oil",https://www.nbim.no/en/news-and-insights/reports/2024/annual-report-2024/,"Home News and insights Reports 2024 Annual report 2024 2024 Annual report 2024 Government Pension Fund Global Published: 25 February 2025 Strong return on the fund&#x27;s investments The Government Pension Fund Global returned 13.1 percent, or a record-high 2,511 billion kroner, in 2024. The fund s value increased by 3,985 billion kroner, the biggest increase in krone terms in its history. Read the report in web format Download the report in pdf Watch the press conference CEO Nicolai Tangen and "
nbim_ri_2016,NBIM,responsible_investment,2016,,en,357,sustainability,https://www.nbim.no/en/news-and-insights/reports/2016/responsible-investment-2016/,Home News and insights Reports 2016 Responsible investment 2016 2016 Responsible investment 2016 Our mission is to safeguard and build financial wealth for future generations. We manage the fund responsibly in order to support the investment objective of the highest possible return with a moderate level of risk. Responsible investment is integrated into our investment strategy. &#xA; Published:&#xA; 7 March 2017 Download the publication (PDF) Go to the news update Main pillars Standard setting W
nbim_ri_2017,NBIM,responsible_investment,2017,,en,245,sustainability,https://www.nbim.no/en/news-and-insights/reports/2017/responsible-investment-2017/,Home News and insights Reports 2017 Responsible investment 2017 2017 Responsible investment 2017 Our mission is to safeguard and build financial wealth for future generations. We manage the fund responsibly in order to support the investment objective of the highest possible return with a moderate level of risk. We believe that long-term return is dependent on sustainable development and well-functioning markets. &#xA; Published:&#xA; 13 February 2018 Download the report (PDF) Go to the news upd
nbim_ri_2018,NBIM,responsible_investment,2018,,en,223,sustainability,https://www.nbim.no/en/news-and-insights/reports/2018/responsible-investment-2018/,Home News and insights Reports 2018 Responsible investment 2018 2018 Responsible investment 2018 Our mission is to safeguard and build financial wealth for future generations. We manage the fund responsibly in order to support the investment objective of the highest possible return with a moderate level of risk. Read about our responsible investment in 2018. &#xA; Published:&#xA; 7 February 2019 Download the report (PDF) Go to the news update How we work Establishing principles We aim to contrib
nbim_ri_2019,NBIM,responsible_investment,2019,,en,398,"emission, climate, carbon, sustainability",https://www.nbim.no/en/news-and-insights/reports/2019/responsible-investment-2019/,"Home News and insights Reports 2019 Responsible investment 2019 2019 Responsible investment 2019 2019 was a busy year where we raised a range of key issues for long-term value creation with companies in the portfolio. All in all, we engaged with 1,826 companies. Availability of relevant information is crucial for our work. We assessed 2,296 companies&#x2019; reporting on the basis of our seven expectation documents. It can be challenging to assess and compare companies since there is no single s"
nbim_ri_2020,NBIM,responsible_investment,2020,,en,377,"emission, climate, carbon, sustainability",https://www.nbim.no/en/news-and-insights/reports/2020/responsible-investment-2020/,"Home News and insights Reports 2020 Responsible investment 2020 2020 Responsible investment 2020 The coronavirus pandemic has stress-tested companies around the globe. As the world&#x27;s largest shareholder, we have seen this at close hand. All in all, we held 2,877 meetings with companies in 2020. We also voted on 121,619 resolutions at shareholder meetings and began to publish an explanation whenever voting against the board&#x27;s recommendation. &#xA; Published:&#xA; 25 February 2021 Downlo"
nbim_ri_2021,NBIM,responsible_investment,2021,,en,377,"emission, carbon",https://www.nbim.no/en/news-and-insights/reports/2021/responsible-investment-2021/,"Home News and insights Reports 2021 Responsible investment 2021 2021 Responsible investment 2021 We took transparency to the next level in 2021 by publishing all of our voting intentions five days before the general meetings. We screened the entire portfolio against the expectations, we presented our views at 2,628 company meetings, and we voted at 11,601 shareholder meetings. That is how active ownership creates value for the fund. &#xA; Published:&#xA; 3 March 2022 Download the publication (pd"
nbim_ri_2022,NBIM,responsible_investment,2022,,en,416,"transition, climate, carbon, green, emission",https://www.nbim.no/en/news-and-insights/reports/2022/responsible-investment-2022/,"Home News and insights Reports 2022 Responsible investment 2022 2022 Responsible investment 2022 2022 was a year marked by both high activity and ambitious new initiatives for our responsible investment work. We became even more transparent, we published the full list of our company meetings, and we reported more on the outcomes of our work. During the year, we held 2,911 company meetings, voted on 117,392 resolutions and continued to integrate ESG data in our investment processes. This is how w"
nbim_ri_2023,NBIM,responsible_investment,2023,,en,20937,"transition, climate, sustainability, renewable, carbon, green, fossil, emission, oil",https://www.nbim.no/en/news-and-insights/reports/2023/responsible-investment-2023/,"Home News and insights Reports 2023 Responsible investment 2023 2023 Responsible investment 2023 Government Pension Fund Global Published: 7 February 2024 Long-term ownership in a changing world 2023 was marked by war, the climate crisis and inflation. The fund is a long term, clear and predictable owner in a changing world. We made progress in line with our climate action plan. We also looked in detail at responsible artificial intelligence and how it is relevant to us as investor, and we conti"
nbim_ri_2024,NBIM,responsible_investment,2024,,en,18056,"transition, climate, sustainability, renewable, carbon, green, fossil, emission, oil",https://www.nbim.no/en/news-and-insights/reports/2024/responsible-investment-2024/,"Home News and insights Reports 2024 Responsible investment 2024 2024 Responsible investment 2024 Government Pension Fund Global Published: 6 February 2025 Long-term value Our task is to generate the highest possible financial return in a responsible manner. In 2024, we made progress in line with our 2025 Climate action plan, made further renewable energy investments and increased our transparency. CEO pay remained a priority for us and we advocated for simpler and longer-term incentives. To miti"
